generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1773994999-Tsrk9DHGeqMXK1OPJ14B,2026-03-20 08:23:19.056,0.043062,,,0,0,13959,79,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,2238,1302,ClifPad,clif key
gen-1773994997-92iNAo3ucNx992Jq9u1K,2026-03-20 08:23:17.225,0.036612,,,0,0,11799,81,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,1743,1320,ClifPad,clif key
gen-1773994995-O7Dsp7yK7gkZSPJ8roGj,2026-03-20 08:23:15.053,0.034164,,,0,0,10973,83,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,2128,1122,ClifPad,clif key
gen-1773994992-MQbds9ravhVo3ZE19AjE,2026-03-20 08:23:12.560,0.024174,,,0,0,7628,86,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,2305,1285,ClifPad,clif key
gen-1773994990-N1iaeyo8uOk1Jr6sRxza,2026-03-20 08:23:10.331,0.016107,,,0,0,4904,93,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,2184,1196,ClifPad,clif key
gen-1773994988-YgiBhUIc8I8FDUJ7GEVA,2026-03-20 08:23:08.758,0.015489,,,0,0,4778,77,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,1442,1042,ClifPad,clif key
gen-1773994986-EiIltdvBzsREi473o1di,2026-03-20 08:23:06.679,0.014958,,,0,0,4611,75,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,1424,1002,ClifPad,clif key
gen-1773994984-rtfeSwg3aDOOCqf1Grae,2026-03-20 08:23:04.623,0.014643,,,0,0,4516,73,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,2014,1229,ClifPad,clif key
gen-1773994983-T3dsIGOft1Ggkm54mAzW,2026-03-20 08:23:03.040,0.005469,,,0,0,1448,75,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,1522,1097,ClifPad,clif key
gen-1773994980-HJkdPqmHOO45CUNatPbr,2026-03-20 08:23:00.441,0.005274,,,0,0,1268,98,0,0,anthropic/claude-4-sonnet-20250522,Google,standard,false,true,,tool_calls,tool_calls,2036,869,ClifPad,clif key
